04,04005,255,あずき、あん、さらしあん（乾燥あん）,0,374,1565,7.8,23.5,19.8,1.0,(0.4),(0.12),(0.03),(0.24),(0),66.8,52.4,-,1.0,25.8,26.8,1.0,11,170,58,83,210,7.2,2.3,0.40,1.33,2,1,13,150,(0),-,-,-,(0),(0),(0),0.1,0,3.4,3.9,5,0.01,0.03,0.8,5.1,0.03,(0),2,0.10,7.2,Tr,0,-,-,-,-,-,-,-,-,-,-
04,04101,,あずき、あん、こし練りあん（並あん）,0,261,1090,35.0,5.6,-,0.3,-,-,-,-,(0),58.8,-,-,(0.2),(3.7),(3.9),0.3,2,35,42,17,49,1.6,0.6,0.14,0.42,0,0,1,34,(0),[0],[0],[0],0,(0),(0),0,0,0.8,2.2,4,0.01,0.03,0.1,1.0,0,(0),1,0.04,1.4,0,0,-,-,-,-,-,-,-,-,-,-
04,04102,,あずき、あん、こし練りあん（中割りあん）,0,268,1120,33.2,5.1,-,0.3,-,-,-,-,(0),61.1,-,-,(0.2),(3.4),(3.5),0.3,2,32,38,16,44,1.5,0.6,0.12,0.38,0,0,1,31,(0),[0],[0],[0],0,(0),(0),0,0,0.7,2.0,4,0.01,0.03,0.1,0.9,0,(0),1,0.04,1.3,0,0,-,-,-,-,-,-,-,-,-,-
04,04103,,あずき、あん、こし練りあん（もなかあん）,0,298,1246,25.7,5.1,-,0.3,-,-,-,-,(0),68.6,-,-,(0.2),(3.4),(3.5),0.3,2,32,38,16,44,1.5,0.6,0.12,0.38,0,0,1,31,(0),[0],[0],[0],0,(0),(0),0,0,0.7,2.0,4,0.01,0.03,0.1,0.9,0,(0),1,0.04,1.3,0,0,-,-,-,-,-,-,-,-,-,-
04,04006,256,あずき、あん、つぶし練りあん,0,244,1021,39.3,5.6,4.8,0.6,0.3,0.09,0.02,0.16,0,54.0,54.7,-,0.5,5.2,5.7,0.5,56,160,19,23,73,1.5,0.7,0.20,0.40,0,Tr,1,49,(0),0,0,0,0,(0),(0),0.1,Tr,0.9,1.9,6,0.02,0.03,0.1,1.1,0.03,0,8,0.18,1.7,Tr,0.1,-,-,-,-,-,-,-,-,-,-
04,04007,257,いんげんまめ、全粒、乾,0,339,1420,15.3,22.1,17.3,2.5,1.5,0.28,0.21,0.91,(0),56.4,41.8,-,3.3,16.2,19.6,3.7,Tr,1400,140,150,370,5.9,2.5,0.77,1.93,0,1,3,110,(0),Tr,6,Tr,6,Tr,(0),0.1,0,2.0,0.1,8,0.64,0.16,2.0,6.1,0.37,(0),87,0.65,9.5,Tr,0,-,-,-,-,-,-,-,-,-,-
04,04008,258,いんげんまめ、全粒、ゆで,0,147,615,63.6,9.3,(7.3),1.2,(0.7),(0.13),(0.10),(0.42),(0),24.5,17.3,-,1.5,12.0,13.6,1.4,Tr,410,62,46,140,2.0,1.0,0.32,0.84,0,Tr,Tr,27,(0),Tr,3,0,3,Tr,(0),0,0,1.3,0.1,3,0.22,0.07,0.6,(2.3),0.08,(0),32,0.15,3.7,Tr,0,-,-,-,-,-,-,-,-,-,220
04,04010,260,いんげんまめ、こし生あん,0,155,649,62.3,9.4,(7.4),0.9,(0.5),(0.10),(0.08),(0.32),(0),27.0,-,-,0.5,8.0,8.5,0.4,9,55,60,45,75,2.7,0.8,0.09,0.73,0,5,Tr,6,(0),-,-,-,(0),(0),(0),0,0,1.5,0.1,3,0.01,0.02,0,(1.7),0,(0),14,0.07,2.8,Tr,0,-,-,-,-,-,-,-,-,-,-
04,04023,276,だいず　［全粒・全粒製品］　全粒、国産、黄大豆、乾,0,422,1765,12.4,33.8,32.1,19.7,18.6,2.59,4.80,10.39,Tr,29.5,7.0,4.6,1.5,15.4,21.5,4.7,1,1900,180,220,490,6.8,3.1,1.07,2.27,0,5,3,350,(0),Tr,7,1,7,1,(0),2.3,0.9,13.0,8.6,18,0.71,0.26,2.0,10.2,0.51,(0),260,1.36,27.5,3,0,-,-,-,-,-,-,-,-,1.7,-
04,04024,278,だいず　［全粒・全粒製品］　全粒、国産、黄大豆、ゆで,0,176,738,65.4,14.8,13.8,9.8,(9.2),(1.28),(2.38),(5.15),(Tr),8.4,1.6,1.3,0.9,6.4,8.5,1.6,1,530,79,100,190,2.2,1.9,0.23,1.01,0,2,Tr,77,(0),0,3,0,3,Tr,(0),1.6,0.8,4.2,3.2,7,0.17,0.08,0.4,3.9,0.10,(0),41,0.26,9.8,Tr,0,-,-,-,-,-,-,-,-,0.4,220
